non_diac_word,key_lemma,key_feminine,key_plural,key_conj,key_variant
aba,5.0,,,,
abaa,6.0,,,,
abaas,,,6.0,,
ababilla,,,,7.0,
ababillaba,,,,7.0,
ababillabais,,,,7.0,
ababillabamos,,,,7.0,
ababillaban,,,,7.0,
ababillabas,,,,7.0,
ababillado,,,,7.0,
ababillais,,,,7.0,
ababillamos,,,,7.0,
ababillan,,,,7.0,
ababillando,,,,7.0,
ababillar,,,,7.0,
ababillara,,,,7.0,
ababillarais,,,,7.0,
ababillaramos,,,,7.0,
ababillaran,,,,7.0,
ababillaras,,,,7.0,
ababillare,,,,7.0,
ababillareis,,,,7.0,
ababillaremos,,,,7.0,
ababillaren,,,,7.0,
ababillares,,,,7.0,
ababillaria,,,,7.0,
ababillariais,,,,7.0,
ababillariamos,,,,7.0,
ababillarian,,,,7.0,
ababillarias,,,,7.0,
ababillaron,,,,7.0,
ababillarse,7.0,,,7.0,
ababillas,,,,7.0,
ababillase,,,,7.0,
ababillaseis,,,,7.0,
ababillasemos,,,,7.0,
ababillasen,,,,7.0,
ababillases,,,,7.0,
ababillaste,,,,7.0,
ababillasteis,,,,7.0,
ababille,,,,7.0,
ababilleis,,,,7.0,
ababillemos,,,,7.0,
ababillen,,,,7.0,
ababilles,,,,7.0,
ababillo,,,,7.0,
ababol,8.0,,,,
ababoles,,,8.0,,
abaca,9.0,,,,
abacal,10.0,,,,
abacalera,,11.0,,,
abacaleras,,,11.0,,
abacalero,11.0,,,,
abacaleros,,,11.0,,
abacales,,,10.0,,
abacas,,,9.0,,
abacera,,13.0,,,
abaceras,,,13.0,,
abaceria,12.0,,,,
abacerias,,,12.0,,
abacero,13.0,,,,
abaceros,,,13.0,,
abacial,14.0,,,,
abaciales,,,14.0,,
abaco,15.0,,,,
abacora,16.0,,,17.0,
abacoraba,,,,17.0,
abacorabais,,,,17.0,
abacorabamos,,,,17.0,
abacoraban,,,,17.0,
abacorabas,,,,17.0,
abacorad,,,,17.0,
abacorada,,,,17.0,
abacoradas,,,,17.0,
abacorado,,,,17.0,
abacorados,,,,17.0,
abacorais,,,,17.0,
abacoramos,,,,17.0,
abacoran,,,,17.0,
abacorando,,,,17.0,
abacorar,17.0,,,,
abacorara,,,,17.0,
abacorarais,,,,17.0,
abacoraramos,,,,17.0,
abacoraran,,,,17.0,
abacoraras,,,,17.0,
abacorare,,,,17.0,
abacorareis,,,,17.0,
abacoraremos,,,,17.0,
abacoraren,,,,17.0,
abacorares,,,,17.0,
abacoraria,,,,17.0,
abacorariais,,,,17.0,
abacorariamos,,,,17.0,
abacorarian,,,,17.0,
abacorarias,,,,17.0,
abacoraron,,,,17.0,
abacoras,,,16.0,17.0,
abacorase,,,,17.0,
abacoraseis,,,,17.0,
abacorasemos,,,,17.0,
abacorasen,,,,17.0,
abacorases,,,,17.0,
abacoraste,,,,17.0,
abacorasteis,,,,17.0,
abacore,,,,17.0,
abacoreis,,,,17.0,
abacoremos,,,,17.0,
abacoren,,,,17.0,
abacores,,,,17.0,
abacoro,,,,17.0,
abacos,,,15.0,,
abad,18.0,,,,
abada,19.0,,,,
abadas,,,19.0,,
abadejo,20.0,,,,
abadejos,,,20.0,,
abadenga,,21.0,,,
abadengas,,,21.0,,
abadengo,21.0,,,,
abadengos,,,21.0,,
abaderna,,,,22.0,
abadernaba,,,,22.0,
abadernabais,,,,22.0,
abadernabamos,,,,22.0,
abadernaban,,,,22.0,
abadernabas,,,,22.0,
abadernad,,,,22.0,
abadernada,,,,22.0,
abadernadas,,,,22.0,
abadernado,,,,22.0,
abadernados,,,,22.0,
abadernais,,,,22.0,
abadernamos,,,,22.0,
abadernan,,,,22.0,
abadernando,,,,22.0,
abadernar,22.0,,,,
abadernara,,,,22.0,
abadernarais,,,,22.0,
abadernaramos,,,,22.0,
abadernaran,,,,22.0,
abadernaras,,,,22.0,
abadernare,,,,22.0,
abadernareis,,,,22.0,
abadernaremos,,,,22.0,
abadernaren,,,,22.0,
abadernares,,,,22.0,
abadernaria,,,,22.0,
abadernariais,,,,22.0,
abadernariamos,,,,22.0,
abadernarian,,,,22.0,
abadernarias,,,,22.0,
abadernaron,,,,22.0,
abadernas,,,,22.0,
abadernase,,,,22.0,
abadernaseis,,,,22.0,
abadernasemos,,,,22.0,
abadernasen,,,,22.0,
abadernases,,,,22.0,
abadernaste,,,,22.0,
abadernasteis,,,,22.0,
abaderne,,,,22.0,
abaderneis,,,,22.0,
abadernemos,,,,22.0,
abadernen,,,,22.0,
abadernes,,,,22.0,
abaderno,,,,22.0,
abades,,,18.0,,
abadesa,23.0,18.0,,,
abadesas,,,23.0,,
abadi,24.0,,,,
abadia,25.0,,,,
abadiado,26.0,,,,
abadiados,,,26.0,,
abadias,,,25.0,,
abadiato,27.0,,,,
abadiatos,,,27.0,,
abadies,,,24.0,,
abadis,,,24.0,,
abaja,,,,31.0,
abajaba,,,,31.0,
abajabais,,,,31.0,
abajabamos,,,,31.0,
abajaban,,,,31.0,
abajabas,,,,31.0,
abajad,,,,31.0,
abajada,,,,31.0,
abajadas,,,,31.0,
abajadero,29.0,,,,
abajaderos,,,29.0,,
abajado,,,,31.0,
abajados,,,,31.0,
abajais,,,,31.0,
abajamiento,30.0,,,,
abajamientos,,,30.0,,
abajamos,,,,31.0,
abajan,,,,31.0,
abajando,,,,31.0,
abajar,31.0,,,,
abajara,,,,31.0,
abajarais,,,,31.0,
abajaramos,,,,31.0,
abajaran,,,,31.0,
abajaras,,,,31.0,
abajare,,,,31.0,
abajareis,,,,31.0,
abajaremos,,,,31.0,
abajaren,,,,31.0,
abajares,,,,31.0,
abajaria,,,,31.0,
abajariais,,,,31.0,
abajariamos,,,,31.0,
abajarian,,,,31.0,
abajarias,,,,31.0,
abajaron,,,,31.0,
abajas,,,,31.0,
abajase,,,,31.0,
abajaseis,,,,31.0,
abajasemos,,,,31.0,
abajasen,,,,31.0,
abajases,,,,31.0,
abajaste,,,,31.0,
abajasteis,,,,31.0,
abaje,,,,31.0,
abajeis,,,,31.0,
abajemos,,,,31.0,
abajen,,,,31.0,
abajeña,,32.0,,,
abajeñas,,,32.0,,
abajeño,32.0,,,,
abajeños,,,32.0,,
abajera,33.0,,,,
abajeras,,,33.0,,
abajes,,,,31.0,
abajo,34.0,,,31.0,
abalada,36.0,,,,
abaladas,,,36.0,,
abalance,,,,37.0,
abalanceis,,,,37.0,
abalancemos,,,,37.0,
abalancen,,,,37.0,
abalances,,,,37.0,
abalanza,,,,37.0,
abalanzaba,,,,37.0,
abalanzabais,,,,37.0,
abalanzabamos,,,,37.0,
abalanzaban,,,,37.0,
abalanzabas,,,,37.0,
abalanzad,,,,37.0,
abalanzada,,,,37.0,
abalanzadas,,,,37.0,
abalanzado,,,,37.0,
abalanzados,,,,37.0,
abalanzais,,,,37.0,
abalanzamos,,,,37.0,
abalanzan,,,,37.0,
abalanzando,,,,37.0,
abalanzar,37.0,,,,
abalanzara,,,,37.0,
abalanzarais,,,,37.0,
abalanzaramos,,,,37.0,
abalanzaran,,,,37.0,
abalanzaras,,,,37.0,
abalanzare,,,,37.0,
abalanzareis,,,,37.0,
abalanzaremos,,,,37.0,
abalanzaren,,,,37.0,
abalanzares,,,,37.0,
abalanzaria,,,,37.0,
abalanzariais,,,,37.0,
abalanzariamos,,,,37.0,
abalanzarian,,,,37.0,
abalanzarias,,,,37.0,
abalanzaron,,,,37.0,
abalanzas,,,,37.0,
abalanzase,,,,37.0,
abalanzaseis,,,,37.0,
abalanzasemos,,,,37.0,
abalanzasen,,,,37.0,
abalanzases,,,,37.0,
abalanzaste,,,,37.0,
abalanzasteis,,,,37.0,
abalanzo,,,,37.0,
abalaustrada,,38.0,,,
abalaustradas,,,38.0,,
abalaustrado,38.0,,,,
abalaustrados,,,38.0,,
abalconada,,39.0,,,
abalconadas,,,39.0,,
abalconado,39.0,,,,
abalconados,,,39.0,,
abaldonar,40.0,,,,
abalea,,,,41.0,
abaleaba,,,,41.0,
abaleabais,,,,41.0,
abaleabamos,,,,41.0,
abaleaban,,,,41.0,
abaleabas,,,,41.0,
abalead,,,,41.0,
abaleada,,,,41.0,
abaleadas,,,,41.0,
abaleado,,,,41.0,
abaleados,,,,41.0,
abaleais,,,,41.0,
abaleamos,,,,41.0,
abalean,,,,41.0,
abaleando,,,,41.0,
abalear,"41.0,42.0",,,,
abaleara,,,,41.0,
abalearais,,,,41.0,
abalearamos,,,,41.0,
abalearan,,,,41.0,
abalearas,,,,41.0,
abaleare,,,,41.0,
abaleareis,,,,41.0,
abalearemos,,,,41.0,
abalearen,,,,41.0,
abaleares,,,,41.0,
abalearia,,,,41.0,
abaleariais,,,,41.0,
abaleariamos,,,,41.0,
abalearian,,,,41.0,
abalearias,,,,41.0,
abalearon,,,,41.0,
abaleas,,,,41.0,
abalease,,,,41.0,
abaleaseis,,,,41.0,
abaleasemos,,,,41.0,
abaleasen,,,,41.0,
abaleases,,,,41.0,
abaleaste,,,,41.0,
abaleasteis,,,,41.0,
abalee,,,,41.0,
abaleeis,,,,41.0,
abaleemos,,,,41.0,
abaleen,,,,41.0,
abalees,,,,41.0,
abaleo,"43.0,44.0",,,41.0,
abaleos,,,43.0,,
abalice,,,,45.0,
abaliceis,,,,45.0,
abalicemos,,,,45.0,
abalicen,,,,45.0,
abalices,,,,45.0,
abaliza,,,,45.0,
abalizaba,,,,45.0,
abalizabais,,,,45.0,
abalizabamos,,,,45.0,
abalizaban,,,,45.0,
abalizabas,,,,45.0,
abalizad,,,,45.0,
abalizada,,,,45.0,
abalizadas,,,,45.0,
abalizado,,,,45.0,
abalizados,,,,45.0,
abalizais,,,,45.0,
abalizamos,,,,45.0,
abalizan,,,,45.0,
abalizando,,,,45.0,
abalizar,45.0,,,,
abalizara,,,,45.0,
abalizarais,,,,45.0,
abalizaramos,,,,45.0,
abalizaran,,,,45.0,
abalizaras,,,,45.0,
abalizare,,,,45.0,
abalizareis,,,,45.0,
abalizaremos,,,,45.0,
abalizaren,,,,45.0,
abalizares,,,,45.0,
abalizaria,,,,45.0,
abalizariais,,,,45.0,
abalizariamos,,,,45.0,
abalizarian,,,,45.0,
abalizarias,,,,45.0,
abalizaron,,,,45.0,
abalizas,,,,45.0,
abalizase,,,,45.0,
abalizaseis,,,,45.0,
abalizasemos,,,,45.0,
abalizasen,,,,45.0,
abalizases,,,,45.0,
abalizaste,,,,45.0,
abalizasteis,,,,45.0,
abalizo,,,,45.0,
aballa,,,,46.0,
aballaba,,,,46.0,
aballabais,,,,46.0,
aballabamos,,,,46.0,
aballaban,,,,46.0,
aballabas,,,,46.0,
aballad,,,,46.0,
aballada,,,,46.0,
aballadas,,,,46.0,
aballado,,,,46.0,
aballados,,,,46.0,
aballais,,,,46.0,
aballamos,,,,46.0,
aballan,,,,46.0,
aballando,,,,46.0,
aballar,"46.0,47.0",,,,
aballara,,,,46.0,
aballarais,,,,46.0,
aballaramos,,,,46.0,
aballaran,,,,46.0,
aballaras,,,,46.0,
aballare,,,,46.0,
aballareis,,,,46.0,
aballaremos,,,,46.0,
aballaren,,,,46.0,
aballares,,,,46.0,
aballaria,,,,46.0,
aballariais,,,,46.0,
aballariamos,,,,46.0,
aballarian,,,,46.0,
aballarias,,,,46.0,
aballaron,,,,46.0,
aballas,,,,46.0,
aballase,,,,46.0,
aballaseis,,,,46.0,
aballasemos,,,,46.0,
aballasen,,,,46.0,
aballases,,,,46.0,
aballaste,,,,46.0,
aballasteis,,,,46.0,
aballe,,,,46.0,
aballeis,,,,46.0,
aballemos,,,,46.0,
aballen,,,,46.0,
aballes,,,,46.0,
aballesta,,,,48.0,
aballestaba,,,,48.0,
aballestabais,,,,48.0,
aballestabamos,,,,48.0,
aballestaban,,,,48.0,
aballestabas,,,,48.0,
aballestad,,,,48.0,
aballestada,,,,48.0,
aballestadas,,,,48.0,
aballestado,,,,48.0,
aballestados,,,,48.0,
aballestais,,,,48.0,
aballestamos,,,,48.0,
aballestan,,,,48.0,
aballestando,,,,48.0,
aballestar,48.0,,,,
aballestara,,,,48.0,
aballestarais,,,,48.0,
aballestaramos,,,,48.0,
aballestaran,,,,48.0,
aballestaras,,,,48.0,
aballestare,,,,48.0,
aballestareis,,,,48.0,
aballestaremos,,,,48.0,
aballestaren,,,,48.0,
aballestares,,,,48.0,
aballestaria,,,,48.0,
aballestariais,,,,48.0,
aballestariamos,,,,48.0,
aballestarian,,,,48.0,
aballestarias,,,,48.0,
aballestaron,,,,48.0,
aballestas,,,,48.0,
aballestase,,,,48.0,
aballestaseis,,,,48.0,
aballestasemos,,,,48.0,
aballestasen,,,,48.0,
aballestases,,,,48.0,
aballestaste,,,,48.0,
aballestasteis,,,,48.0,
aballeste,,,,48.0,
aballesteis,,,,48.0,
aballestemos,,,,48.0,
aballesten,,,,48.0,
aballestes,,,,48.0,
aballesto,,,,48.0,
aballo,,,,46.0,
abalorio,49.0,,,,
abalorios,,,49.0,,
abaluarta,,,,50.0,
abaluartaba,,,,50.0,
abaluartabais,,,,50.0,
abaluartabamos,,,,50.0,
abaluartaban,,,,50.0,
abaluartabas,,,,50.0,
abaluartad,,,,50.0,
abaluartada,,,,50.0,
abaluartadas,,,,50.0,
abaluartado,,,,50.0,
abaluartados,,,,50.0,
abaluartais,,,,50.0,
abaluartamos,,,,50.0,
abaluartan,,,,50.0,
abaluartando,,,,50.0,
abaluartar,50.0,,,,
abaluartara,,,,50.0,
abaluartarais,,,,50.0,
abaluartaramos,,,,50.0,
abaluartaran,,,,50.0,
abaluartaras,,,,50.0,
abaluartare,,,,50.0,
abaluartareis,,,,50.0,
abaluartaremos,,,,50.0,
abaluartaren,,,,50.0,
abaluartares,,,,50.0,
abaluartaria,,,,50.0,
abaluartariais,,,,50.0,
abaluartariamos,,,,50.0,
abaluartarian,,,,50.0,
abaluartarias,,,,50.0,
abaluartaron,,,,50.0,
abaluartas,,,,50.0,
